IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
198.41.200.228,10,10,0.00,1.96,0.00,N/A
172.64.96.223,10,10,0.00,2.03,0.00,N/A
198.41.217.177,10,10,0.00,2.04,0.00,N/A
198.41.201.210,10,10,0.00,2.05,0.00,N/A
104.24.77.156,10,10,0.00,2.05,0.00,N/A
198.41.204.50,10,10,0.00,2.07,0.00,N/A
198.41.205.231,10,10,0.00,2.09,0.00,N/A
104.25.67.245,10,10,0.00,2.09,0.00,N/A
198.41.203.37,10,10,0.00,2.10,0.00,N/A
198.41.206.249,10,10,0.00,2.10,0.00,N/A
